code,dt_date,no2_daily,dt_year,dt_weekdays,week_group
GHSR,2022-12-09,73.18013833333333,2022,Friday,Other Weekdays
GHSR,2022-12-10,61.452769583333335,2022,Saturday,Weekends
GHSR,2022-12-11,48.839472916666665,2022,Sunday,Weekends
GHSR,2022-12-12,52.6654575,2022,Monday,Other Weekdays
GHSR,2022-12-13,51.59298458333333,2022,Tuesday,Core Weekdays
GHSR,2022-12-14,61.79515,2022,Wednesday,Core Weekdays
GHSR,2022-12-15,69.21933125,2022,Thursday,Core Weekdays
GHSR,2022-12-16,42.923862916666664,2022,Friday,Other Weekdays
GHSR,2022-12-17,49.32720208333333,2022,Saturday,Weekends
GHSR,2022-12-18,19.215929583333335,2022,Sunday,Weekends
GHSR,2022-12-19,17.235355416666668,2022,Monday,Other Weekdays
GHSR,2022-12-20,14.096294583333334,2022,Tuesday,Core Weekdays
GHSR,2022-12-21,13.795880833333333,2022,Wednesday,Core Weekdays
GHSR,2022-12-22,45.6543725,2022,Thursday,Core Weekdays
GHSR,2022-12-23,19.16143125,2022,Friday,Other Weekdays
GHSR,2022-12-24,17.061662916666666,2022,Saturday,Weekends
GHSR,2022-12-25,15.72395375,2022,Sunday,Weekends
GHSR,2022-12-26,17.941875,2022,Monday,Other Weekdays
GHSR,2022-12-27,34.864891666666665,2022,Tuesday,Core Weekdays
GHSR,2022-12-28,20.53170958333333,2022,Wednesday,Core Weekdays
GHSR,2022-12-29,19.313570869565215,2022,Thursday,Core Weekdays
GHSR,2022-12-30,16.553082916666668,2022,Friday,Other Weekdays
GHSR,2022-12-31,32.216424583333335,2022,Saturday,Weekends
GLA4,2022-08-01,25.722350833333333,2022,Monday,Other Weekdays
GLA4,2022-08-02,11.292594583333333,2022,Tuesday,Core Weekdays
GLA4,2022-08-03,19.027128333333334,2022,Wednesday,Core Weekdays
GLA4,2022-08-04,26.2782645,2022,Thursday,Core Weekdays
GLA4,2022-08-05,29.242552083333333,2022,Friday,Other Weekdays
GLA4,2022-08-06,16.891637083333332,2022,Saturday,Weekends
GLA4,2022-08-07,15.599260833333332,2022,Sunday,Weekends
GLA4,2022-08-08,27.702822083333334,2022,Monday,Other Weekdays
GLA4,2022-08-09,28.169996086956523,2022,Tuesday,Core Weekdays
GLA4,2022-08-10,34.0292925,2022,Wednesday,Core Weekdays
GLA4,2022-08-11,41.3021125,2022,Thursday,Core Weekdays
GLA4,2022-08-12,57.313181666666665,2022,Friday,Other Weekdays
GLA4,2022-08-13,51.85565166666667,2022,Saturday,Weekends
GLA4,2022-08-14,39.81513833333333,2022,Sunday,Weekends
GLA4,2022-08-15,57.852979166666664,2022,Monday,Other Weekdays
GLA4,2022-08-16,43.458893333333336,2022,Tuesday,Core Weekdays
GLA4,2022-08-17,45.97235833333333,2022,Wednesday,Core Weekdays
GLA4,2022-08-18,24.75829875,2022,Thursday,Core Weekdays
GLA4,2022-08-19,19.1468925,2022,Friday,Other Weekdays
GLA4,2022-08-20,18.30443375,2022,Saturday,Weekends
GLA4,2022-08-21,21.414574583333334,2022,Sunday,Weekends
GLA4,2022-08-22,49.83592208333334,2022,Monday,Other Weekdays
GLA4,2022-08-23,38.11992125,2022,Tuesday,Core Weekdays
GLA4,2022-08-24,29.3535675,2022,Wednesday,Core Weekdays
GLA4,2022-08-25,22.567488695652173,2022,Thursday,Core Weekdays
GLA4,2022-08-26,39.68602875,2022,Friday,Other Weekdays
GLA4,2022-08-27,37.23430208333333,2022,Saturday,Weekends
GLA4,2022-08-28,39.89059041666667,2022,Sunday,Weekends
GLA4,2022-08-29,43.921695,2022,Monday,Other Weekdays
GLA4,2022-08-30,46.19296833333333,2022,Tuesday,Core Weekdays
GLA4,2022-08-31,46.259305,2022,Wednesday,Core Weekdays
GLA4,2022-09-01,50.974225,2022,Thursday,Core Weekdays
GLA4,2022-09-02,54.76705125,2022,Friday,Other Weekdays
GLA4,2022-09-03,63.932404166666664,2022,Saturday,Weekends
GLA4,2022-09-04,39.63138791666667,2022,Sunday,Weekends
GLA4,2022-09-05,43.62169541666667,2022,Monday,Other Weekdays
GLA4,2022-09-06,60.06648416666667,2022,Tuesday,Core Weekdays
GLA4,2022-09-07,45.743495833333334,2022,Wednesday,Core Weekdays
GLA4,2022-09-08,49.95379166666667,2022,Thursday,Core Weekdays
GLA4,2022-09-09,48.63601083333333,2022,Friday,Other Weekdays
GLA4,2022-09-10,48.38270083333333,2022,Saturday,Weekends
GLA4,2022-09-11,41.96519,2022,Sunday,Weekends
GLA4,2022-09-12,27.103885416666667,2022,Monday,Other Weekdays
GLA4,2022-09-13,32.419844166666664,2022,Tuesday,Core Weekdays
GLA4,2022-09-14,36.56254666666667,2022,Wednesday,Core Weekdays
GLA4,2022-09-15,39.6292475,2022,Thursday,Core Weekdays
GLA4,2022-09-16,43.47336,2022,Friday,Other Weekdays
GLA4,2022-09-17,32.95600458333333,2022,Saturday,Weekends
GLA4,2022-09-18,32.52903333333333,2022,Sunday,Weekends
GLA4,2022-09-19,30.56634375,2022,Monday,Other Weekdays
GLA4,2022-09-20,31.600044583333332,2022,Tuesday,Core Weekdays
GLA4,2022-09-21,35.898845,2022,Wednesday,Core Weekdays
GLA4,2022-09-22,35.37402125,2022,Thursday,Core Weekdays
GLA4,2022-09-23,41.86128458333333,2022,Friday,Other Weekdays
GLA4,2022-09-24,44.589205,2022,Saturday,Weekends
